year,global_mean_index
1990,0.6102081641554832
1991,0.7653972978393236
1992,0.6318933965762457
1993,0.6150063053483056
1994,0.47701054998472625
1995,0.6796429025630156
1996,0.6102739487276522
1997,0.4474741926946776
1998,0.5944073673036979
1999,0.4730741266499239
2000,0.43037913346852863
2001,0.5337758932786397
2002,0.5620476539998746
2003,0.4999629497046785
2004,0.5451924540224193
2005,0.594320747626519
2006,0.5288166385265534
2007,0.5612359493725024
2008,0.5275578522244785
2009,0.5314834015021442
2010,0.5217923765422888
2011,0.5356806451249869
2012,0.5481466406818898
2013,0.5538895122468261
2014,0.530926689765038
2015,0.5639092200735457
2016,0.5611710487188776
2017,0.5692697553953874
2018,0.5270785843256915
2019,0.545132570147368
2020,0.5385625645811407
2021,0.5375595723490456
2022,0.5477459690178706
2023,0.5396929545914333
2024,0.5393200890000641
