year,gini,hhi
1990,0.13782850193107193,0.3581805715371753
1991,0.09056435656287438,0.17134287957929417
1992,0.0996731137010576,0.20926909916872924
1993,0.10714504403334624,0.14871345050940618
1994,0.1797602926289936,0.2790825811619565
1995,0.08882215463732382,0.25711440161382043
1996,0.12979184049360948,0.17614643409980682
1997,0.31764518421906884,0.20200986702457657
1998,0.09454347272918372,0.14764726564312194
1999,0.22221620398283526,0.07494681760409955
2000,0.29822615743282826,0.09233666009154444
2001,0.2379820848385654,0.05197613504415753
2002,0.22686496607912268,0.034495635345037946
2003,0.25245508582176474,0.03941441178583101
2004,0.24677525899591993,0.039843289619136635
2005,0.19751944674005031,0.03357181356845396
2006,0.18010201718830757,0.0326768349590697
2007,0.16260246601555609,0.024873440748404033
2008,0.19937927399375854,0.026829920782600363
2009,0.23028778173017167,0.021521977837439026
2010,0.2086859632794468,0.02027660801645363
2011,0.1952728088158159,0.019055761443353806
2012,0.20444418532777123,0.018757850272942397
2013,0.17152054031695504,0.015881308279048476
2014,0.21395862942037625,0.01658240467336437
2015,0.15030500477010797,0.013514155843907817
2016,0.14979797879402165,0.012908181856103035
2017,0.1597541188023618,0.013118474622651172
2018,0.1787974218015791,0.013359859037707538
2019,0.1938028375468669,0.012549619816635615
2020,0.19589187619341536,0.012418326587571785
2021,0.16929332632896305,0.010781743272830227
2022,0.15286584695158054,0.011519943196352493
2023,0.16242074743746612,0.011133397485010986
2024,0.21120389373970422,0.014787722822114055
