sdg_target,component,weight
1.5,embedding,1.0
11.7,embedding,0.9194942116737366
11.2,embedding,0.9025285840034485
7.1,embedding,0.869513750076294
11.1,embedding,0.8632721900939941
9.1,embedding,0.8325958847999573
11.5,embedding,0.7861354351043701
13.1,embedding,0.7704242467880249
1.3,embedding,0.7553806900978088
11.b,embedding,0.7187650799751282
9.4,embedding,0.6761520504951477
10.2,embedding,0.6692162156105042
1.4,embedding,0.6444993615150452
3.8,embedding,0.640364408493042
17.18,embedding,0.6195356845855713
3.9,embedding,0.5754969120025635
11.6,embedding,0.5679918527603149
7.b,embedding,0.5660367012023926
3.4,embedding,0.5395091772079468
12.c,embedding,0.5034939646720886
10.4,embedding,0.4943865537643433
3.d,embedding,0.4782081544399261
13.3,embedding,0.4625245332717896
7.a,embedding,0.4457491934299469
2.2,embedding,0.4053687751293182
13.2,embedding,0.3367944061756134
7.3,embedding,0.3178893029689789
7.2,embedding,0.3176063299179077
16.6,embedding,0.0
16.7,embedding,0.2667242288589478
16.b,embedding,0.1403332352638245
6.1,embedding,0.5492773056030273
6.2,embedding,0.5664872527122498
6.4,embedding,0.39535853266716
1.5,policy,1.0
11.7,policy,1.0
11.2,policy,1.0
7.1,policy,1.0
11.1,policy,1.0
9.1,policy,1.0
11.5,policy,1.0
13.1,policy,1.0
1.3,policy,1.0
11.b,policy,1.0
9.4,policy,1.0
10.2,policy,1.0
1.4,policy,1.0
3.8,policy,1.0
17.18,policy,1.0
3.9,policy,1.0
11.6,policy,1.0
7.b,policy,1.0
3.4,policy,1.0
12.c,policy,1.0
10.4,policy,1.0
3.d,policy,1.0
13.3,policy,1.0
7.a,policy,1.0
2.2,policy,1.0
13.2,policy,1.0
7.3,policy,1.0
7.2,policy,1.0
16.6,policy,0.0
16.7,policy,0.0
16.b,policy,0.0
6.1,policy,0.0
6.2,policy,0.0
6.4,policy,0.0
1.5,pre_norm,1.05
11.7,pre_norm,0.9694942116737366
11.2,pre_norm,0.9525285840034485
7.1,pre_norm,0.919513750076294
11.1,pre_norm,0.9132721900939942
9.1,pre_norm,0.8825958847999573
11.5,pre_norm,0.8361354351043702
13.1,pre_norm,0.820424246788025
1.3,pre_norm,0.8053806900978089
11.b,pre_norm,0.7687650799751282
9.4,pre_norm,0.7261520504951477
10.2,pre_norm,0.7192162156105042
1.4,pre_norm,0.6944993615150452
3.8,pre_norm,0.690364408493042
17.18,pre_norm,0.6695356845855713
3.9,pre_norm,0.6254969120025635
11.6,pre_norm,0.617991852760315
7.b,pre_norm,0.6160367012023926
3.4,pre_norm,0.5895091772079468
12.c,pre_norm,0.5534939646720887
10.4,pre_norm,0.5443865537643433
3.d,pre_norm,0.5282081544399261
13.3,pre_norm,0.5125245332717896
7.a,pre_norm,0.4957491934299469
2.2,pre_norm,0.4553687751293182
13.2,pre_norm,0.3867944061756134
7.3,pre_norm,0.3678893029689789
7.2,pre_norm,0.3676063299179077
16.6,pre_norm,0.05
16.7,pre_norm,0.05
16.b,pre_norm,0.05
6.1,pre_norm,0.05
6.2,pre_norm,0.05
6.4,pre_norm,0.05
1.5,final,1.0
11.7,final,0.9194942116737366
11.2,final,0.9025285840034485
7.1,final,0.869513750076294
11.1,final,0.8632721900939941
9.1,final,0.8325958847999573
11.5,final,0.7861354351043701
13.1,final,0.7704242467880249
1.3,final,0.7553806900978088
11.b,final,0.7187650799751282
9.4,final,0.6761520504951477
10.2,final,0.6692162156105042
1.4,final,0.6444993615150452
3.8,final,0.640364408493042
17.18,final,0.6195356845855713
3.9,final,0.5754969120025635
11.6,final,0.5679918527603149
7.b,final,0.5660367012023926
3.4,final,0.5395091772079468
12.c,final,0.5034939646720886
10.4,final,0.4943865537643433
3.d,final,0.4782081544399261
13.3,final,0.4625245332717896
7.a,final,0.4457491934299469
2.2,final,0.4053687751293182
13.2,final,0.3367944061756134
7.3,final,0.3178893029689789
7.2,final,0.3176063299179077
16.6,final,0.0
16.7,final,0.0
16.b,final,0.0
6.1,final,0.0
6.2,final,0.0
6.4,final,0.0
